Sport,Team,Product ID,Product Name,Product Price,Brand Name,Product URL
NFL,arizona-cardinals,3592378,Arizona Cardinals WinCraft Newborn & Infant Eat. Drink. Repeat. All-Pro Bib,7.49,WinCraft,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-wincraft-newborn-and-infant-eat-drink-repeat-all-pro-bib/o-1338+t-69607864+p-58722168404+z-9-1248928027
NFL,arizona-cardinals,3592351,Arizona Cardinals WinCraft Infant Drool All-Pro Bib,7.49,WinCraft,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-wincraft-infant-drool-all-pro-bib/o-2494+t-81483464+p-14165457549+z-9-1500603287
NFL,arizona-cardinals,4260584,Kyler Murray Arizona Cardinals Newborn & Infant Three-Pack Name & Number Bodysuit Set - Cardinal/Black/Heathered Gray,34.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/kyler-murray-arizona-cardinals-newborn-and-infant-three-pack-name-and-number-bodysuit-set-cardinal/black/heathered-gray/o-1361+t-14604520+p-04464000645+z-9-3855288812
NFL,arizona-cardinals,4347677,Arizona Cardinals Newborn & Infant 3rd Down & Goal Three-Piece Bodysuit Set - Cardinal/Black/Heathered Gray,29.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-newborn-and-infant-3rd-down-and-goal-three-piece-bodysuit-set-cardinal/black/heathered-gray/o-3549+t-25600131+p-8270480093+z-8-3982865552
NFL,arizona-cardinals,4478499,Girls Newborn & Infant Cardinal/Black Arizona Cardinals Two-Piece Cheerleader Set with Bloomers,24.97,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/girls-newborn-and-infant-cardinal/black-arizona-cardinals-two-piece-cheerleader-set-with-bloomers/o-3538+t-69591286+p-93601819725+z-9-3779360174
NFL,arizona-cardinals,4538088,Arizona Cardinals Infant Little Kicker Long Sleeve Bodysuit & Pants Set - Cardinal/Black,29.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-infant-little-kicker-long-sleeve-bodysuit-and-pants-set-cardinal/black/o-3561+t-81048919+p-26618142346+z-9-1609487111
NFL,arizona-cardinals,4683064,Arizona Cardinals New Era Infant Mini Fan Beanie - Cardinal ,19.99,New Era,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-new-era-infant-mini-fan-beanie-cardinal-/o-6883+t-25606719+p-7128429880+z-8-1519663207
NFL,arizona-cardinals,4556166,Arizona Cardinals Infant My First Tail Sweep Slouch Flex Hat - Cardinal/Black,19.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-infant-my-first-tail-sweep-slouch-flex-hat-cardinal/black/o-2449+t-70822353+p-93166117303+z-9-254007525
NFL,arizona-cardinals,3965109,Kyler Murray Arizona Cardinals Newborn & Infant Mainliner Name & Number Bodysuit - Cardinal,23.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/kyler-murray-arizona-cardinals-newborn-and-infant-mainliner-name-and-number-bodysuit-cardinal/o-4672+t-70040186+p-7010519879+z-8-2933774132
NFL,arizona-cardinals,5015533,Newborn & Infant Arizona Cardinals Cream Logo Hoodie Full-Zip Sleeper,30.00,NFL Properties,https://www.fanatics.com/nfl/arizona-cardinals/newborn-and-infant-arizona-cardinals-cream-logo-hoodie-full-zip-sleeper/o-1394+t-58268997+p-83881238628+z-9-1982276319
